曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+
うっせぇわ,MAS,POPS & ANIME,12.9,12.9,,なだめスかし Negotiation（TVsize）,MAS,POPS & ANIME,12.8,12.8,,俺ら東京さ行ぐだ,MAS,POPS & ANIME,12.7,12.7,,FLARE,MAS,POPS & ANIME,12.6,12.6,,うまぴょい伝説,MAS,POPS & ANIME,12.5,12.5
モノノケ・イン・ザ・フィクション,MAS,POPS & ANIME,12.9,12.9,,異世界かるてっと,MAS,POPS & ANIME,12.8,12.8,,永遠のAria,MAS,POPS & ANIME,12.7,12.7,,名前のない怪物,MAS,POPS & ANIME,12.6,12.6,,今宵mofumofu!!,MAS,POPS & ANIME,12.5,12.5
青春サイダー,MAS,POPS & ANIME,12.9,12.9,,甲賀忍法帖,MAS,POPS & ANIME,12.8,12.8,,真赤な誓い,MAS,POPS & ANIME,12.7,12.7,,チャージマン研！,MAS,POPS & ANIME,12.6,12.6,,お願いマッスル,MAS,POPS & ANIME,12.5,12.5
Cosmic twinkle star,MAS,POPS & ANIME,12.9,12.9,,キラメキライダー☆,MAS,POPS & ANIME,12.8,12.8,,ダイヤモンドハッピー,MAS,POPS & ANIME,12.7,12.7,,Ray ―はじまりのセカイ― (クロニクルアレンジver.),MAS,POPS & ANIME,12.6,12.6,,God knows...,MAS,POPS & ANIME,12.5,12.5
失敗作少女,MAS,niconico,12.9,12.9,,禁じられた遊び,MAS,POPS & ANIME,12.8,12.8,,ハッピー・ハッピー・フレンズ,MAS,POPS & ANIME,12.7,12.7,,巫女みこナース・愛のテーマ,MAS,POPS & ANIME,12.6,12.6,,ヒプノシスマイク -Division Battle Anthem-,MAS,POPS & ANIME,12.5,12.5
ロスタイムメモリー,MAS,niconico,12.9,12.9,,ぶれいくるみるくらぶ！,MAS,POPS & ANIME,12.8,12.8,,ラブリー☆えんじぇる!!,MAS,POPS & ANIME,12.7,12.7,,テレキャスタービーボーイ,MAS,niconico,12.6,12.6,,拝啓、桜舞い散るこの日に,MAS,niconico,12.5,12.5
木彫り鯰と右肩ゾンビ,MAS,niconico,12.9,12.9,,終わりなき物語,MAS,POPS & ANIME,12.8,12.8,,永遠にゲームで対戦したいキリタン,MAS,niconico,12.7,12.7,,だれかの心臓になれたなら,MAS,niconico,12.6,12.6,,StargazeR,MAS,niconico,12.5,12.5
虎視眈々,MAS,niconico,12.9,12.9,,Redo,MAS,POPS & ANIME,12.8,12.8,,スターナイトスノウ,MAS,niconico,12.7,12.7,,はやくそれになりたい！,MAS,niconico,12.6,12.6,,マトリョシカ,MAS,niconico,12.5,12.5
Sweet Devil,MAS,niconico,12.9,12.9,,回レ！雪月花,MAS,POPS & ANIME,12.8,12.8,,クレイジー・ビート,MAS,niconico,12.7,12.7,,おちゃめ機能,MAS,niconico,12.6,12.6,,Palette,MAS,niconico,12.5,12.5
ルナティックレッドアイズ,MAS,東方Project,12.9,12.9,,心予報,MAS,niconico,12.8,12.8,,＊ハロー、プラネット。,MAS,niconico,12.7,12.7,,WAVE,MAS,niconico,12.6,12.6,,ウミユリ海底譚,MAS,niconico,12.5,12.5
Bad Apple!! feat.nomico(REDALiCE Remix),MAS,東方Project,12.9,12.9,,骸骨楽団とリリア,MAS,niconico,12.8,12.8,,ダンスロボットダンス,MAS,niconico,12.7,12.7,,ECHO,MAS,niconico,12.6,12.6,,いろは唄,MAS,niconico,12.5,12.5
Scream out! -CHUNITHM Tuning-,MAS,東方Project,12.9,12.9,,愛されなくても君がいる,MAS,niconico,12.8,12.8,,Fire◎Flower,MAS,niconico,12.7,12.7,,シジョウノコエ VOCALO ver.,MAS,niconico,12.6,12.6,,イカサマライフゲイム,MAS,niconico,12.5,12.5
天狗の落とし文 feat. ｙｔｒ,MAS,東方Project,12.9,12.9,,結んで開いて羅刹と骸,MAS,niconico,12.8,12.8,,如月アテンション,MAS,niconico,12.7,12.7,,千本桜,MAS,niconico,12.6,12.6,,LOVE EAST,MAS,東方Project,12.5,12.5
蒼空に舞え、墨染の桜,MAS,東方Project,12.9,12.9,,ワールズエンド・ダンスホール,MAS,niconico,12.8,12.8,,メイドと血の懐中時計,MAS,東方Project,12.7,12.7,,進捗どうですか？,MAS,東方Project,12.6,12.6,,ゆけむり魂温泉 II,MAS,東方Project,12.5,12.5
Through The Tower,MAS,VARIETY,12.9,12.9,,卑怯戦隊うろたんだー,MAS,niconico,12.8,12.8,,あうんどばいみー,MAS,東方Project,12.7,12.7,,"Help me, ERINNNNNN!! -Cranky remix-",MAS,東方Project,12.6,12.6,,愛き夜道 feat. ランコ、雨天決行,MAS,東方Project,12.5,12.5
Limits,MAS,イロドリミドリ,12.9,12.9,,砂の惑星 feat. HATSUNE MIKU,MAS,niconico,12.8,12.8,,トランスダンスアナーキー,MAS,東方Project,12.7,12.7,,緋色のDance,MAS,東方Project,12.6,12.6,,No Routine,MAS,東方Project,12.5,12.5
クレッシェンド・ストーリー,MAS,イロドリミドリ,12.9,12.9,,アウターサイエンス,MAS,niconico,12.8,12.8,,Paranoia,MAS,東方Project,12.7,12.7,,君と、この瞬間,MAS,イロドリミドリ,12.6,12.6,,チルノのパーフェクトさんすう教室,MAS,東方Project,12.5,12.5
単一指向性オーバーブルーム,MAS,イロドリミドリ,12.9,12.9,,放課後革命,MAS,niconico,12.8,12.8,,"""STAR""T",MAS,イロドリミドリ,12.7,12.7,,アイジャストロック,MAS,イロドリミドリ,12.6,12.6,,アルストロメリア,MAS,VARIETY,12.5,12.5
Get a Life！,MAS,イロドリミドリ,12.9,12.9,,愛迷エレジー,MAS,niconico,12.8,12.8,,Blueprint,MAS,イロドリミドリ,12.7,12.7,,猛進ソリストライフ！,MAS,イロドリミドリ,12.6,12.6,,凛として咲く花の如く,MAS,VARIETY,12.5,12.5
相思創愛,MAS,ゲキマイ,12.9,12.9,,Earthquake Super Shock,MAS,東方Project,12.8,12.8,,SPICY SWINGY STYLE,MAS,イロドリミドリ,12.7,12.7,,Ever green Never end,MAS,イロドリミドリ,12.6,12.6,,elegante,MAS,VARIETY,12.5,12.5
UTAKATA,MAS,ゲキマイ,12.9,12.9,,Cosmic Magic Shooter,MAS,東方Project,12.8,12.8,,Very! Merry!! Session!!!,MAS,イロドリミドリ,12.7,12.7,,言ノ葉カルマ,MAS,ゲキマイ,12.6,12.6,,無敵We are one!!,MAS,イロドリミドリ,12.5,12.5
D.E.A.D.L.Y.,MAS,ORIGINAL,12.9,12.9,,Bad Apple!! feat.nomico (Nhato Remix),MAS,東方Project,12.8,12.8,,イロドリミドリ杯花映塚全一決定戦公式テーマソング『ウソテイ』,MAS,イロドリミドリ,12.7,12.7,,涙色メモリア,MAS,ORIGINAL,12.6,12.6,,ドキドキDREAM!!!,MAS,イロドリミドリ,12.5,12.5
THE BRASS OF GOODSPEED!!,MAS,ORIGINAL,12.9,12.9,,Grip & Break down !!,MAS,東方Project,12.8,12.8,,Perfect Shining!!,MAS,ゲキマイ,12.7,12.7,,シル・ヴ・プレジデント,MAS,POPS & ANIME,,12.6,,悪戯,MAS,ゲキマイ,12.5,12.5
Tattoo,MAS,ORIGINAL,12.9,12.9,,つるぺったん,MAS,東方Project,12.8,12.8,,What color...,MAS,ゲキマイ,12.7,12.7,,Floor Killer,MAS,POPS & ANIME,,12.6,,トリドリ⇒モリモリ! Lovely fruits☆,MAS,ゲキマイ,12.5,12.5
タイムカプセル,MAS,ORIGINAL,,12.9,,WARNING×WARNING×WARNING,MAS,東方Project,12.8,12.8,,砂漠のハンティングガール♡,MAS,ORIGINAL,12.7,12.7,,ダーリンダンス,MAS,niconico,,12.6,,哀しみ集め,MAS,ORIGINAL,12.5,12.5
,,,,,,キュアリアス光吉古牌　－祭－,MAS,東方Project,12.8,12.8,,サヴァイバル・キリング・メーカー,MAS,ORIGINAL,12.7,12.7,,Music Evolution,MAS,東方Project,,12.6,,WE GOTTA SOUL,MAS,ORIGINAL,12.5,12.5
Akasagarbha -reincarnate-,EXP,VARIETY,13.5,12.9,,永遠のメロディ,MAS,東方Project,12.8,12.8,,Dark Diver,MAS,ORIGINAL,12.7,12.7,,リリーシア,ULT,ORIGINAL,,12.6,,エンジェデビ,MAS,ORIGINAL,12.5,12.5
IMPACT,EXP,ORIGINAL,13.4,12.9,,FLOATED CALM,MAS,VARIETY,12.8,12.8,,Daydream café,ULT,POPS & ANIME,12.7,12.7,,,,,,,,《理想》 ～ Cloudland,MAS,ORIGINAL,12.5,12.5
初音ミクの激唱,EXP,niconico,12.9,12.9,,インドア系ならトラックメイカー,MAS,VARIETY,12.8,12.8,,さんさーら！,MAS,POPS & ANIME,,12.7,,Caliburne ～Story of the Legendary sword～,EXP,ゲキマイ,12.6,12.6,,Ghost Dance,MAS,ORIGINAL,12.5,12.5
HAELEQUIN (Original Remaster),EXP,VARIETY,12.9,12.9,,Candyland Symphony,MAS,VARIETY,12.8,12.8,,Dig Delight!,MAS,POPS & ANIME,,12.7,,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,EXP,ゲキマイ,12.6,12.6,,おいでよ！ 高須らいむランド,MAS,ORIGINAL,12.5,12.5
Satellite System ft. Diana Chiaki,EXP,VARIETY,12.9,12.9,,全ての人の魂の戦い (Daisuke Asakura Remix),MAS,VARIETY,12.8,12.8,,Get the star for you [DJ Command Remix],MAS,東方Project,,12.7,,Gustav Battle,EXP,ORIGINAL,12.6,12.6,,呪歌-JyuKa-,MAS,ORIGINAL,12.5,12.5
A Site De La Rue,EXP,VARIETY,12.9,12.9,,Road without Road,MAS,イロドリミドリ,12.8,12.8,,星めぐり、果ての君へ,MAS,ゲキマイ,,12.7,,宛城、炎上！！,EXP,ORIGINAL,12.6,12.6,,エクストラ・マジック・アワー,MAS,POPS & ANIME,12.0,12.5
,,,,,,咲キ誇レ常世ノ華,MAS,ゲキマイ,12.8,12.8,,,,,,,,Gate of Fate,EXP,ORIGINAL,12.4,12.6,,怪物,MAS,POPS & ANIME,,12.5
,,,,,,福宿音屋魂音泉,MAS,ゲキマイ,12.8,12.8,,,,,,,,Blessed Rain,EXP,ORIGINAL,12.3,12.6,,コトバウタ,MAS,イロドリミドリ,,12.5
,,,,,,最強 the サマータイム!!!!!,MAS,ゲキマイ,12.8,12.8,,真千年女王,EXP,VARIETY,12.7,12.7,,,,,,,,,,,,
,,,,,,SWEET SHAKE!!,MAS,ゲキマイ,12.8,12.8,,Love & Justice,EXP,VARIETY,12.7,12.7,,,,,,,,妖々跋扈～Who done it!!!,EXP,東方Project,12.5,12.5
,,,,,,Guilty,MAS,ORIGINAL,12.8,12.8,,Megameteor,EXP,ORIGINAL,12.7,12.7,,,,,,,,Fracture Ray,EXP,VARIETY,12.5,12.5
,,,,,,明るい未来,MAS,ORIGINAL,12.8,12.8,,《破滅》 ～ Rhapsody for The End,EXP,ORIGINAL,12.7,12.7,,,,,,,,Dengeki Tube,EXP,VARIETY,12.5,12.5
,,,,,,はちみつアドベンチャー,MAS,ORIGINAL,12.8,12.8,,Last Celebration,EXP,ORIGINAL,12.7,12.7,,,,,,,,Doppelganger,EXP,VARIETY,12.5,12.5
,,,,,,迷える薔薇に終わらぬ夜を,MAS,ORIGINAL,12.8,12.8,,Blazing:Storm,EXP,ORIGINAL,12.7,12.7,,,,,,,,"Good bye, Merry-Go-Round.",EXP,ゲキマイ,12.5,12.5
,,,,,,STAR IN THE WORLD,MAS,ORIGINAL,12.8,12.8,,,,,,,,,,,,,,Contrapasso -inferno-,EXP,ORIGINAL,12.5,12.5
,,,,,,,,,,,,,,,,,,,,,,,,紅華刑,EXP,ORIGINAL,12.5,12.5
,,,,,,Excalibur ～Revived resolution～,EXP,ゲキマイ,12.8,12.8,,,,,,,,,,,,,,absolute rightness,EXP,ORIGINAL,12.5,12.5
,,,,,,MARENOL,EXP,VARIETY,12.7,12.8,,,,,,,,,,,,,,Elemental Ethnic,EXP,ORIGINAL,12.5,12.5
,,,,,,,,,,,,,,,,,,,,,,,,蒼穹舞楽,EXP,ゲキマイ,,12.5
