曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+
Kadenz,MAS,POPS & ANIME,13.7,13.7,,Jörqer,MAS,ORIGINAL,13.7,13.7,,ロストワードクロニカル,MAS,東方Project,13.7,13.6,,FIRE BIRD,MAS,POPS & ANIME,13.6,13.5
Bull's Eye,MAS,POPS & ANIME,13.7,13.7,,stella=steLLa,MAS,ORIGINAL,13.7,13.7,,Fantasm,MAS,ORIGINAL,13.7,13.6,,レトロマニア狂想曲,MAS,niconico,13.5,13.5
ストライク・ザ・ブラッド,MAS,POPS & ANIME,13.7,13.7,,Tuning Rangers,MAS,ORIGINAL,13.7,13.7,,Phantom Joke,MAS,POPS & ANIME,13.6,13.6,,夜咄ディセイブ,MAS,niconico,13.5,13.5
アンヘル,MAS,niconico,13.7,13.7,,Paqqin,MAS,ORIGINAL,13.7,13.7,,深海のリトルクライ feat. 土岐麻子,MAS,niconico,13.6,13.6,,仙酌絶唱のファンタジア,MAS,東方Project,13.5,13.5
アンドロイドガール,MAS,niconico,13.7,13.7,,最愛テトラグラマトン,MAS,ORIGINAL,13.7,13.7,,幾望の月,MAS,niconico,13.6,13.6,,PRIVATE SERVICE,MAS,VARIETY,13.5,13.5
KILLER B,MAS,niconico,13.7,13.7,,ゲシュタルト！テスト期間！！,MAS,ORIGINAL,13.7,13.7,,チュルリラ・チュルリラ・ダッダッダ！,MAS,niconico,13.6,13.6,,010,MAS,VARIETY,13.5,13.5
絶対にチョコミントを食べるアオイチャン,MAS,niconico,13.7,13.7,,EXECUTOR,MAS,ORIGINAL,13.7,13.7,,XL TECHNO,MAS,VARIETY,13.6,13.6,,ERIS -Legend of Gaidelia-,MAS,VARIETY,13.5,13.5
ヒバナ,MAS,niconico,13.7,13.7,,Drivessover,MAS,ORIGINAL,13.7,13.7,,L9,MAS,VARIETY,13.6,13.6,,Her Majesty,MAS,VARIETY,13.5,13.5
ミリオン／ワンズ,MAS,niconico,13.7,13.7,,Seagull,MAS,ORIGINAL,13.7,13.7,,私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,MAS,イロドリミドリ,13.6,13.6,,ETERNAL DRAIN,MAS,VARIETY,13.5,13.5
ゴーストルール,MAS,niconico,13.7,13.7,,Servant of Love,MAS,ORIGINAL,13.7,13.7,,GranFatalité,MAS,ゲキマイ,13.6,13.6,,Burning Hearts ～炎のANGEL～,MAS,VARIETY,13.5,13.5
アンハッピーリフレイン,MAS,niconico,13.7,13.7,,strelitzia,MAS,ORIGINAL,13.7,13.7,,札付きのワル　～マイケルのうた～,MAS,ORIGINAL,13.6,13.6,,イロトリドリのメロディ,MAS,イロドリミドリ,13.5,13.5
幸せになれる隠しコマンドがあるらしい,MAS,niconico,13.7,13.7,,逃げろ！サテライトキャンパス！！,MAS,ORIGINAL,13.7,13.7,,時の冒険者,MAS,ORIGINAL,13.6,13.6,,ライトスピード・デイズ,MAS,イロドリミドリ,13.5,13.5
チルドレンレコード,MAS,niconico,13.7,13.7,,【冒険】イングリット葛西降臨！【実況】,MAS,ORIGINAL,13.7,13.7,,Blazing Break,MAS,ORIGINAL,13.6,13.6,,Memories of Sun and Moon,MAS,ORIGINAL,13.5,13.5
タイガーランペイジ,MAS,niconico,13.7,13.7,,《混乱》 ～ Muspell,MAS,ORIGINAL,13.7,13.7,,Super Kitsch Mode,MAS,ORIGINAL,13.6,13.6,,Hyperion,MAS,ORIGINAL,13.5,13.5
はたてのバッコイ殺人事件,MAS,東方Project,13.7,13.7,,モノクロトワイライト,MAS,ORIGINAL,13.7,13.7,,Blows Up Everything,EXP,ゲキマイ,13.6,13.6,,PinqPiq,MAS,ORIGINAL,13.5,13.5
Energy Booster ～ 上海紅茶館,MAS,東方Project,13.7,13.7,,エキセントリックコンコン,MAS,ORIGINAL,13.7,13.7,,Glorious Crown (tpz over-Over-OVERCUTE REMIX),EXP,ORIGINAL,13.6,13.6,,Rendezvous,MAS,ORIGINAL,13.5,13.5
ARROW RAIN feat. Ayame,MAS,東方Project,13.7,13.7,,ROAD TO DREAM,MAS,ORIGINAL,13.7,13.7,,GIGA DRIVE,EXP,ORIGINAL,13.6,13.6,,The Darkness of Valhalla,MAS,ORIGINAL,13.5,13.5
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,MAS,東方Project,13.7,13.7,,《狂乱》 ～ Cataclysm,MAS,ORIGINAL,13.7,13.7,,Be4Step,MAS,ORIGINAL,,13.6,,《最愛》 ～ Curse,MAS,ORIGINAL,13.5,13.5
Floating Darkness,MAS,東方Project,13.7,13.7,,Utopithm,MAS,ORIGINAL,13.7,13.7,,初音天地開闢神話,EXP,niconico,,13.6,,ドルオタ忍道！楠子ノ巻,MAS,ORIGINAL,13.5,13.5
Jimang Shot,MAS,東方Project,13.7,13.7,,Redo,ULT,POPS&ANIME,13.7,13.7,,Everlasting Liberty,EXP,ORIGINAL,,13.6,,絶対トキメキデリバリー,MAS,ORIGINAL,13.5,13.5
Axium Crisis,MAS,VARIETY,13.7,13.7,,B.B.K.K.B.K.K.,ULT,VARIETY,13.7,13.7,,,,,,,,JET,ULT,VARIETY,13.5,13.5
Altale,MAS,VARIETY,13.7,13.7,,BUCHiGiRE Berserker,EXP,VARIETY,13.7,13.7,,,,,,,,G e n g a o z o,EXP,VARIETY,13.5,13.5
The Formula,MAS,VARIETY,13.7,13.7,,End Time,EXP,VARIETY,13.7,13.7,,,,,,,,小悪魔の遊園地,EXP,VARIETY,13.5,13.5
SAMBISTA,MAS,VARIETY,13.7,13.7,,アポカリプスに反逆の焔を焚べろ,EXP,ゲキマイ,13.7,13.7,,,,,,,,電光石火,EXP,ORIGINAL,13.5,13.5
Say A Vengeance,MAS,VARIETY,13.7,13.7,,Opfer,EXP,ゲキマイ,13.7,13.7,,,,,,,,GO! GO! MANIAC,MAS,POPS & ANIME,13.1,13.5
STAGER,MAS,VARIETY,13.7,13.7,,Viyella's Tears,EXP,ゲキマイ,13.7,13.7,,,,,,,,純情-SAKURA-,MAS,POPS & ANIME,13.3,13.5
JULIAN,MAS,VARIETY,13.7,13.7,,封焔の135秒,EXP,ゲキマイ,13.7,13.7,,,,,,,,腐れ外道とチョコレゐト,MAS,niconico,13.2,13.5
Black Lair,MAS,VARIETY,13.7,13.7,,神威 (NAOKI × ZPP MIX),EXP,ORIGINAL,13.7,13.7,,,,,,,,Papyrus,MAS,VARIETY,13.4,13.5
Funny Funky Freaky,MAS,VARIETY,13.7,13.7,,TiamaT:F minor,EXP,ORIGINAL,13.7,13.7,,,,,,,,MEGALOVANIA,EXP,VARIETY,13.4,13.5
ぷよぷよのうた ピコピコミックス,MAS,VARIETY,13.7,13.7,,folern,EXP,ORIGINAL,13.7,13.7,,,,,,,,無間嫉妬劇場『666』,MAS,東方Project,,13.5
Everything For A Reason,MAS,イロドリミドリ,13.7,13.7,,Hainuwele,EXP,ORIGINAL,13.7,13.7,,,,,,,,とびだせ！TO THE COSMIC!!,MAS,ゲキマイ,,13.5
Starting Over,MAS,イロドリミドリ,13.7,13.7,,蜘蛛の糸,EXP,ORIGINAL,13.7,13.7,,,,,,,,Valsqotch,EXP,ゲキマイ,,13.5
-OutsideR:RequieM-,MAS,イロドリミドリ,13.7,13.7,,Strange Love,EXP,ORIGINAL,13.7,13.7,,,,,,,,,,,,
みなえをチェック！,MAS,イロドリミドリ,13.7,13.7,,アンクローズ・ヒューマン,MAS,niconico,13.5,13.7,,,,,,,,※13+/13からの降格ですが、12+が出切っていないため元Lv/現Lv双方のシートに記載,,,,
Day by Day CRiSiS Songs,MAS,イロドリミドリ,13.7,13.7,,Echoes,MAS,ORIGINAL,13.5,13.7,,,,,,,,Akasagarbha -reincarnate-,EXP,VARIETY,13.5,12.9
SUPER RESULT BEAT vol.1,MAS,イロドリミドリ,13.7,13.7,,ANU,EXP,ORIGINAL,13.6,13.7,,,,,,,,,,,,
Kattobi舞高Riders,MAS,イロドリミドリ,13.7,13.7,,携帯恋話,MAS,niconico,,13.7,,,,,,,,,,,,
Secret Sleuth,MAS,ゲキマイ,13.7,13.7,,エバ,MAS,niconico,,13.7,,,,,,,,,,,,
ここからはじまるプロローグ。,MAS,ゲキマイ,13.7,13.7,,Reverberate,EXP,ORIGINAL,,13.7,,,,,,,,,,,,
