曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+
Elemental Creation,MAS,VARIETY,14.5,14.4,,UltraNeon,MAS,ORIGINAL,14.5,14.3,,電脳少女は歌姫の夢を見るか？,MAS,niconico,14.4,14.2,,ピュグマリオンの咒文,MAS,ORIGINAL,14.2,14.1,,MEGALOVANIA,MAS,VARIETY,14.1,14.0
Like the Wind [Reborn],MAS,ゲキマイ,14.5,14.4,,のぼれ！すすめ！高い塔,MAS,niconico,14.3,14.3,,FLOWER,ULT,VARIETY,14.4,14.2,,六兆年と一夜物語,ULT,niconico,14.2,14.1,,再生不能,MAS,ORIGINAL,14.2,14.0
"Iudicium ""Apocalypsis Mix""",MAS,ゲキマイ,14.5,14.4,,Sweet Requiem,MAS,東方Project,14.3,14.3,,狩猟戦旗～REQUIEM,MAS,POPS & ANIME,14.2,14.2,,殺人レコード恐怖のメロディ,MAS,POPS & ANIME,14.1,14.1,,二次元ドリームフィーバー,MAS,niconico,14.0,14.0
Gate of Fate,MAS,ORIGINAL,14.5,14.4,,DX超性能フルメタル少女,MAS,VARIETY,14.3,14.3,,害虫,MAS,niconico,14.2,14.2,,頓珍漢の宴,MAS,niconico,14.1,14.1,,デンパラダイム,MAS,niconico,14.0,14.0
ハイセンスナンセンス,MAS,niconico,14.4,14.4,,Cyaegha,MAS,VARIETY,14.3,14.3,,インビジブル,MAS,niconico,14.2,14.2,,拝啓ドッペルゲンガー,MAS,niconico,14.1,14.1,,鬼KYOKAN,MAS,niconico,14.0,14.0
ラクガキスト,MAS,niconico,14.4,14.4,,Super Lovely (Heavenly Remix),MAS,VARIETY,14.3,14.3,,レータイスパークEx,MAS,東方Project,14.2,14.2,,カミサマネジマキ,MAS,niconico,14.1,14.1,,Mr. Wonderland,MAS,niconico,14.0,14.0
神々が恋した幻想郷,MAS,東方Project,14.4,14.4,,Brain Power,MAS,VARIETY,14.3,14.3,,サドマミホリック,MAS,東方Project,14.2,14.2,,ぼくらの16bit戦争,MAS,niconico,14.1,14.1,,宵闇の月に抱かれて,MAS,東方Project,14.0,14.0
ナイト・オブ・ナイツ (USAO Remix),MAS,東方Project,14.4,14.4,,Taiko Drum Monster,MAS,VARIETY,14.3,14.3,,患部で止まってすぐ溶ける～狂気の優曇華院,MAS,東方Project,14.2,14.2,,ギガンティックO.T.N,MAS,niconico,14.1,14.1,,チルノのパーフェクトさんすう教室　⑨周年バージョン,MAS,東方Project,14.0,14.0
最終鬼畜妹フランドール・S,MAS,東方Project,14.4,14.4,,conflict,MAS,VARIETY,14.3,14.3,,幻想のサテライト,MAS,東方Project,14.2,14.2,,Cinderella Story [BlackY Remix],MAS,東方Project,14.1,14.1,,東方妖々夢 ～the maximum moving about～,MAS,東方Project,14.0,14.0
ゴールドビジョン,MAS,東方Project,14.4,14.4,,Halcyon,MAS,VARIETY,14.3,14.3,,Jack-the-Ripper◆,MAS,VARIETY,14.2,14.2,,#FairyJoke,MAS,東方Project,14.1,14.1,,最終鬼畜妹・一部声,MAS,東方Project,14.0,14.0
きゅうりバーにダイブ,MAS,東方Project,14.4,14.4,,GOODTEK,MAS,VARIETY,14.3,14.3,,DRAGONLADY,MAS,VARIETY,14.2,14.2,,ポーカーフェイス,MAS,東方Project,14.1,14.1,,董卓討つべし,MAS,VARIETY,14.0,14.0
Evans,MAS,VARIETY,14.4,14.4,,Pure Ruby,MAS,VARIETY,14.3,14.3,,Jade Star,MAS,VARIETY,14.2,14.2,,ナイト・オブ・ナイツ (Cranky Remix),MAS,東方Project,14.1,14.1,,REDRAVE,MAS,VARIETY,14.0,14.0
SON OF SUN,MAS,VARIETY,14.4,14.4,,チョウの標本,MAS,VARIETY,14.3,14.3,,分からない,MAS,ゲキマイ,14.2,14.2,,Phantasm Brigade,MAS,東方Project,14.1,14.1,,DataErr0r,MAS,VARIETY,14.0,14.0
セイクリッド　ルイン,MAS,VARIETY,14.4,14.4,,NightTheater,MAS,VARIETY,14.3,14.3,,Blows Up Everything,MAS,ゲキマイ,14.2,14.2,,Arcahv,MAS,VARIETY,14.1,14.1,,Pangaea,MAS,VARIETY,14.0,14.0
Strahv,MAS,VARIETY,14.4,14.4,,燃えてもエンジョイ！宛城、炎上！！,MAS,イロドリミドリ,14.3,14.3,,Technicians High,MAS,ゲキマイ,14.2,14.2,,BlythE,MAS,VARIETY,14.1,14.1,,クロートーと星の観測者,MAS,VARIETY,14.0,14.0
AVALON,MAS,VARIETY,14.4,14.4,,conflict(斉唱),MAS,イロドリミドリ,14.3,14.3,,GEMINI -C-,MAS,ORIGINAL,14.2,14.2,,CO5M1C R4ILR0AD,MAS,VARIETY,14.1,14.1,,Outlaw's Lullaby,MAS,VARIETY,14.0,14.0
volcanic,MAS,VARIETY,14.4,14.4,,Hyper Active,MAS,ゲキマイ,14.3,14.3,,We Gonna Journey,MAS,ORIGINAL,14.2,14.2,,R.I.P.,MAS,VARIETY,14.1,14.1,,奏者はただ背中と提琴で語るのみ,MAS,イロドリミドリ,14.0,14.0
Parousia,MAS,VARIETY,14.4,14.4,,花と、雪と、ドラムンベース。,MAS,ゲキマイ,14.3,14.3,,Gustav Battle,MAS,ORIGINAL,14.2,14.2,,The wheel to the Night ～インド人が夢に!?～,MAS,イロドリミドリ,14.1,14.1,,MELtin' 17,MAS,イロドリミドリ,14.0,14.0
ZEUS,MAS,VARIETY,14.4,14.4,,Warcry,MAS,ORIGINAL,14.3,14.3,,Cyberozar,MAS,ORIGINAL,14.2,14.2,,Baqeela,MAS,ゲキマイ,14.1,14.1,,紅き魔汁、闇より降りて天啓の響きを導く,MAS,イロドリミドリ,14.0,14.0
Black Lotus,MAS,VARIETY,14.4,14.4,,眠れぬ夜君を想フ,MAS,ORIGINAL,14.3,14.3,,We Gonna Party -Feline Groove Mix-,MAS,ORIGINAL,14.2,14.2,,おまかせ！！トラブルメイ娘☆とれびちゃん,MAS,ORIGINAL,14.1,14.1,,Oshama Scramble!,MAS,ゲキマイ,14.0,14.0
felys -final remix-,MAS,VARIETY,14.4,14.4,,JIGOKU STATION CENTRAL GATE,MAS,ORIGINAL,14.3,14.3,,覚醒楽奏メタフィクション,MAS,ORIGINAL,14.2,14.2,,コモリの怪物,MAS,ORIGINAL,14.1,14.1,,天火明命,MAS,ゲキマイ,14.0,14.0
プナイプナイたいそう,MAS,VARIETY,14.4,14.4,,BlazinG AIR,MAS,ORIGINAL,14.3,14.3,,トリスメギストス,MAS,ORIGINAL,14.2,14.2,,Life,MAS,ORIGINAL,14.1,14.1,,Rule the World!!,MAS,ゲキマイ,14.0,14.0
J219,MAS,VARIETY,14.4,14.4,,CHOCOLATE BOMB!!!!,MAS,ORIGINAL,14.3,14.3,,Twice up Scenery,MAS,ORIGINAL,14.2,14.2,,Vibrant Verve,MAS,ORIGINAL,14.1,14.1,,My First Phone,MAS,ORIGINAL,14.0,14.0
CITRUS MONSTER,MAS,ゲキマイ,14.4,14.4,,ぜったい！昇天★鎮魂歌♂,MAS,ORIGINAL,14.3,14.3,,Pre Paid Pog Punk Panic,MAS,ORIGINAL,14.2,14.2,,まごころのカスクルゥト,MAS,ORIGINAL,14.1,14.1,,今ぞ♡崇め奉れ☆オマエらよ！！～姫の秘メタル渇望～,MAS,ORIGINAL,14.0,14.0
The wheel to the right,MAS,ORIGINAL,14.4,14.4,,StufeStern,MAS,ORIGINAL,14.3,14.3,,凛として咲く花の如く,ULT,VARIETY,14.2,14.2,,《選別》 ～ Refuge,MAS,ORIGINAL,14.1,14.1,,MUSIC PЯAYER,MAS,ORIGINAL,14.0,14.0
Tango Rouge,MAS,ORIGINAL,14.4,14.4,,中学2年生のアンドロイド,MAS,ORIGINAL,14.3,14.3,,Infantoon Fantasy,ULT,ORIGINAL,14.2,14.2,,"Athlete Killer ""Meteor""",MAS,ORIGINAL,14.1,14.1,,Oshama Scramble! (Cranky Remix),MAS,ORIGINAL,14.0,14.0
紅華刑,MAS,ORIGINAL,14.4,14.4,,Black Swan Lake,MAS,ORIGINAL,14.3,14.3,,業 -善なる神とこの世の悪について-,EXP,ORIGINAL,14.2,14.2,,Rebellion,EXP,ORIGINAL,14.1,14.1,,BOKUTO,MAS,ORIGINAL,14.0,14.0
Tidal Wave,MAS,ORIGINAL,14.4,14.4,,absolute rightness,MAS,ORIGINAL,14.3,14.3,,The Metaverse -First story of the SeelischTact-,EXP,ORIGINAL,14.2,14.2,,サイバーサンダーサイダー,MAS,niconico,14.0,14.1,,立川浄穢捕物帳,MAS,ORIGINAL,14.0,14.0
オススメ☆♂♀☆でぃすとぴあ,MAS,ORIGINAL,14.4,14.4,,《運命》 ～ Ray of Hope,MAS,ORIGINAL,14.3,14.3,,ベースラインやってる？笑,MAS,VARIETY,14.0,14.2,,,,,,,,bubble attack,MAS,ORIGINAL,14.0,14.0
Supersonic Generation,MAS,ORIGINAL,14.4,14.4,,Fidget Dancer,MAS,ORIGINAL,14.3,14.3,,↑この曲と「インドア系ならトラックメイカー」は今作よりVARIETYに変更,,,,,,,,,,,,Pastel Party,MAS,ORIGINAL,14.0,14.0
Twilight,MAS,ORIGINAL,14.4,14.4,,大天使ユリア★降臨!,MAS,ORIGINAL,14.3,14.3,,Komplexe,MAS,ゲキマイ,,14.2,,,,,,,,足立オウフwwww,MAS,ORIGINAL,14.0,14.0
ハートアタック,MAS,ORIGINAL,14.4,14.4,,SQUAD-Phvntom-,MAS,ORIGINAL,14.3,14.3,,Guilty,ULT,ORIGINAL,,14.2,,,,,,,,Innocent Truth,MAS,ORIGINAL,14.0,14.0
